
440	60

440	251

201	102

201	103

208	316

43	259

43	18

43	14

43	493

265	480

265	153

351	430

375	78

375	51

375	113

185	396

185	52

185	45

80	457

80	301

80	451

80	129

286	447

286	383

286	153

286	56

64	47

450	48

119	242

119	492

181	324

131	413

206	21

206	11

206	259

206	245

340	415

340	335

349	49

349	424

324	246

221	400

355	43

355	432

195	241

327	311

327	329

327	485

327	383

245	483

384	170

384	365

384	122

237	331

237	162

491	348

491	472

78	42

78	17

78	426

78	330

15	492

15	495

128	403

442	355

442	371

442	302

442	178

182	494

182	5

396	4

396	27

305	282

186	357

259	248

259	1

9	395

217	114

410	480

82	28

82	355

82	385

82	319

427	281

427	137

427	188

427	481

33	283

33	258

141	257

370	317

370	344

370	175

370	137

379	55

110	453

110	12

110	403

110	212

177	311

177	248

479	433

479	442

479	282

479	196

210	386

161	306

161	153

161	72

161	453

12	120

12	227

12	297

12	268

257	387

257	284

257	167

257	15

430	56

430	81

21	360

21	224

67	459

67	153

67	182

8	373

8	38

8	434

394	480

228	491

495	17

495	256

495	385

495	60

337	50

387	342

124	12

124	69

124	304

124	41

303	253

303	466

303	401

303	172

205	197

205	223

205	8

292	380

292	458

292	500

292	189

127	490

298	338

298	208

298	86

187	336

187	433

187	389

187	86

38	497

38	77

347	250

347	361

83	247

83	135

472	111

51	432

63	379

343	10

343	202

343	455

342	435

342	266

342	387

342	430

451	500

451	392

451	9

301	450

301	135

150	116

150	138

150	29

150	14

17	477

17	226

146	311

23	249

23	45

23	191

23	135

125	20

125	105

344	260

344	390

344	78

344	284

84	488

199	124

199	156

199	407

52	285

52	495

52	72

52	76

273	482

273	157

456	172

61	480

61	23

61	132

61	302

464	73

372	322

53	436

53	19

53	194

53	188

289	370

289	430

289	91

130	215

112	260

112	496

86	120

431	437

431	20

322	285

322	17

322	430

322	410

59	380

239	478

239	439

239	235

239	31

188	277

188	444

188	446

37	229

10	16

10	298

10	199

10	177

196	175

196	92

196	334

196	363

90	336

176	308

4	23

4	253

326	421

326	17

453	416

383	452

383	213

209	457

209	94

209	316

477	251

143	167

143	286

480	379

480	479

480	434

480	467

178	340

211	209

123	245

123	456

413	72

413	130

75	169

152	368

69	126

473	160

14	39

36	258

36	138

36	321

36	68

233	299

233	436

233	23

294	354

294	3

294	116

319	297

319	32

319	345

277	211

277	405

277	146

277	5

224	310

224	33

224	347

224	109

388	459

388	401

446	250

446	69

446	307

446	486

238	86

238	43

238	242

238	273

92	262

92	471

92	146

92	92

276	88

276	439

437	298

424	300

223	239

404	482

404	20

122	153

102	353

102	344

439	192

162	331

162	184

162	11

162	491

331	325

331	448

331	200

331	433

293	308

293	402

203	250

203	467

220	382

296	107

296	212

296	31

296	335

109	433

447	275

447	362

447	206

399	283

399	327

19	412

19	400

19	269

420	169

420	123

132	349

132	491

132	423

132	277

96	284

96	263

96	368

96	421

106	300

474	42

474	20

138	264

138	237

138	199

138	110

54	211

54	147

54	58

3	246

3	92

475	165

475	77

475	255

475	340

62	235

425	192

264	41

250	177

250	259

250	241

250	203

418	230

418	88

214	316

214	154

214	392

214	158

207	40

207	7

49	107

55	315

18	299

18	370

18	52

18	138

22	494

22	115

22	482

22	117

117	412

117	38

117	337

117	141

194	292

194	99

314	109

466	126

466	160

466	371

285	127

285	18

285	83

285	457

227	62

227	355

227	332

312	292

312	459

476	55

403	171

403	351

403	250

403	142

338	199

338	428

338	322

275	259

382	23

48	3

48	234

48	222

269	158

269	207

269	355

269	293

134	457

134	338

101	107

101	485

101	135

300	82

300	154

300	311

300	281

363	131

363	151

363	109

363	143

213	403

213	219

213	396

330	185

279	378

136	418

136	282

139	196

26	373

76	484

76	350

76	494

76	445

416	166

416	340

416	436

416	287

452	128

452	391

452	487

452	283

414	355

414	415

414	349

414	416

93	315

498	442

498	489

498	324

498	458

172	224

172	389

