
440	36

440	16

201	14

201	30

208	36

43	31

43	25

43	18

43	29

265	12

265	32

351	6

375	6

375	24

375	8

185	4

185	36

185	32

80	25

80	1

80	21

80	27

286	23

286	22

286	1

286	31

64	3

450	32

119	26

119	35

181	20

131	1

206	17

206	4

206	8

206	26

340	23

340	17

349	21

349	19

324	6

221	32

355	19

355	35

195	21

327	15

327	2

327	35

327	19

245	23

384	30

384	31

384	4

237	31

237	32

491	24

491	5

78	10

78	11

78	4

78	33

15	4

15	6

128	31

442	15

442	16

442	18

442	28

182	10

182	28

396	24

396	29

305	18

186	1

259	36

259	8

9	11

217	18

410	24

82	16

82	15

82	13

82	24

427	29

427	36

427	7

427	17

33	7

33	18

141	9

370	29

370	32

370	1

370	23

379	31

110	5

110	31

110	36

110	15

177	23

177	9

479	29

479	8

479	36

479	17

210	10

161	26

161	31

161	4

161	20

12	4

12	33

12	10

12	34

257	23

257	32

257	9

257	31

430	16

430	22

21	36

21	27

67	7

67	36

67	8

8	5

8	23

8	30

394	12

228	27

495	9

495	19

495	27

495	15

337	18

387	34

124	4

124	18

124	20

124	32

303	13

303	35

303	33

303	21

205	13

205	27

205	4

292	16

292	21

292	22

292	3

127	30

298	18

298	14

298	6

187	12

187	31

187	13

187	28

38	21

38	3

347	34

347	11

83	3

83	33

472	7

51	32

63	35

343	10

343	29

343	12

342	11

342	17

342	20

342	8

451	8

451	18

451	31

301	6

301	27

150	20

150	34

150	26

150	23

17	1

17	35

146	27

23	9

23	17

23	8

23	1

125	16

125	6

344	36

344	35

344	22

344	13

84	16

199	32

199	34

199	13

52	29

52	19

52	27

52	32

273	6

273	1

456	8

61	12

61	10

61	15

61	25

464	29

372	26

53	20

53	3

53	10

53	29

289	14

289	21

289	7

130	27

112	20

112	24

86	28

431	25

431	26

322	13

322	23

322	12

322	24

59	4

239	22

239	23

239	19

239	24

188	21

188	32

188	36

37	1

10	8

10	30

10	4

10	28

196	23

196	1

196	30

196	17

90	28

176	28

4	11

4	30

326	21

326	3

453	36

383	24

383	14

209	29

